Pair,SL,TP,Trailing,NumberOftrades,MaxDD,WinRate,P/D,Profit,PDP
XAUUSD,60,60,0.2,620,377,72,14.63,5516,80706.25
XAUUSD,200,300,0.2,159,408,79,10.3,4204,43317.69
XAUUSD,200,200,0.3,158,408,78,9.03,3685,33282.41
XAUUSD,200,200,0.3,71,408,75,3.07,1252,3841.92
XAUUSD,200,300,0.5,80,426,74,8.7,3707,32257.86
XAUUSD,60,90,0.2,578,430,71,16.71,7185,120056.34
XAUUSD,70,70,0.2,563,432,74,13.15,5679,74655.19
XAUUSD,200,300,0.4,94,465,68,5.04,2342,11795.62
XAUUSD,240,240,0.2,176,466,85,11.71,5459,63949.96
XAUUSD,70,70,0.4,469,470,70,7.82,3675,28735.37
XAUUSD,70,70,0.3,520,472,71,8.6,4058,34888.48
XAUUSD,90,135,0.2,417,475,72,11.55,5484,63314.22
XAUUSD,100,100,0.3,173,479,75,3.9,1870,7300.42
XAUUSD,70,105,0.2,519,480,70,12.5,6002,75050.01
XAUUSD,80,80,0.25,466,482,73,8.93,4306,38468.12
XAUUSD,230,230,0.3,141,483,79,8.71,4209,36678.43
XAUUSD,210,315,0.5,73,491,70,6.82,3347,22815.5
XAUUSD,190,285,0.5,83,495,70,5.91,2926,17295.91
XAUUSD,60,90,0.4,446,506,64,10.14,5129,51989.41
XAUUSD,120,120,0.2,353,510,79,13.12,6690,87757.06
XAUUSD,110,110,0.2,381,514,77,10.82,5564,60229.76
XAUUSD,110,165,0.2,325,515,77,14.72,7580,111565.83
XAUUSD,100,100,0.2,414,535,75,8.51,4555,38781.36
XAUUSD,220,220,0.2,184,537,83,10.8,5801,62665.92
XAUUSD,130,130,0.4,226,543,74,7.64,4146,31656.2
XAUUSD,100,100,0.4,315,544,71,6.05,3291,19909.34
XAUUSD,80,80,0.4,409,546,70,6.58,3591,23617.73
XAUUSD,210,315,0.2,158,548,79,6.6,3615,23847.13
XAUUSD,210,210,0.3,151,548,77,5.07,2781,14113.07
XAUUSD,170,255,0.5,99,555,66,5.04,2795,14075.72
XAUUSD,90,90,0.3,410,556,73,7.57,4208,31847.6
XAUUSD,60,60,0.5,497,557,66,4.6,2564,11802.69
XAUUSD,100,150,0.5,222,560,66,6.14,3441,21143.72
XAUUSD,60,90,0.5,399,563,59,6.13,3453,21177.99
XAUUSD,60,90,0.3,520,564,68,9.67,5452,52702.67
XAUUSD,190,285,0.2,168,570,82,9.25,5270,48724.39
XAUUSD,190,190,0.3,173,570,80,7.56,4309,32574.53
XAUUSD,60,60,0.3,582,579,70,6.31,3653,23047.34
XAUUSD,80,80,0.45,365,581,70,5.42,3149,17067.47
XAUUSD,80,80,0.5,344,582,69,5.97,3476,20760.44
XAUUSD,180,180,0.2,227,587,83,11.16,6553,73154.7
XAUUSD,100,150,0.3,294,588,69,7.35,4319,31724.08
XAUUSD,300,300,0.5,73,588,70,4.11,2415,9918.75
XAUUSD,80,80,0.2,492,592,75,9.36,5543,51900.08
XAUUSD,70,105,0.3,441,593,70,10.06,5965,60002.07
XAUUSD,130,195,0.3,205,594,73,6.51,3868,25187.58
XAUUSD,80,80,0.3,448,597,73,6.65,3968,26373.57
XAUUSD,120,120,0.4,254,598,75,6.98,4172,29106.33
XAUUSD,90,90,0.2,463,603,74,7.07,4261,30109.65
XAUUSD,280,420,0.3,85,603,68,3.79,2283,8643.6
